"","Country","DirectCost","IndirectCost","TotalCost","FinancialContributions","DirectCost2","IndirectCost2","Total","year"
"127","France",0.000110973191585067,5,0.000264755330928584,0.000201597902134525,21,0.000676762068112569,0.000964363794498358,2012
"128","Germany",1.89925066309695e-05,21,6.37318415123264e-05,0.000185135667729502,8,0.000225763254104361,0.000404595473798626,2012
"129","Greece",2.74884372826073e-05,19,6.15978485334834e-05,0.00012119190459269,25,0.000231853627175481,0.000692982324450961,2012
"130","Hungary",7.8887714357461e-05,20,0.000117234670162832,5.97514322280857e-05,22,0.000208673089571287,0.000543219228376222,2012
"131","Ireland",0.000442339696218646,12,0.000673028074787358,0.00013764108787628,6,0.000248803629797868,0.000395059036592231,2012
"132","Italy",7.05273694184542e-05,9,0.000257168766160603,0.000150556395969218,17,0.000339016257995858,0.000578052827331293,2012
"133","Japan",4.44280551604292e-06,2,1.78472618955603e-05,0.000199977078406286,1,0,0,2012
"134","Luxembourg",1.72380941951248e-06,25,7.55490680713935e-06,0.000113618052265104,2,0.000189240363145688,0.00030179707210466,2012
"135","Netherlands",6.31426466917972e-05,11,0.000263969967198781,0.000167793752377352,12,0.000403898923912002,0.000607344125757338,2012
"136","New Zealand",0.000155716918096186,24,0.000693716770387905,0.000142272649477415,7,0.000354776668164711,0.000503997552387947,2012
"137","Norway",0.000235128290154895,22,0.000719494853917504,0.000121842092157798,20,0.000467120789657364,0.00074322849866492,2012
"138","Poland",0.000186218627222928,26,0.000268668358672698,3.28917606765479e-05,4,6.40509048871105e-05,0.000187800261735654,2012
"139","Portugal",0.000212887955169479,7,0.0003888936653569,0.000124067411472566,18,0.000162365135279849,0.000403158535154062,2012
"140","Slovakia",0.000367537192225257,17,0.000650177437280589,2.23070006141234e-05,5,8.43972281912488e-05,0.000228795452115558,2012
"141","South Korea",2.97242906366398e-05,13,5.34713175369881e-05,3.69681129864002e-05,16,8.18008233519303e-07,1.04086881775714e-06,2012
"142","Spain",4.95640832441465e-05,29,0.000143392246737096,0.000129053140997098,3,0.000106994168062373,0.000230741605411012,2012
"143","Sweden",0.000108394575178325,6,0.000264960189323523,0.000165499523861927,11,0.00031021544801709,0.000507031716323553,2012
"144","Switzerland",1.28999122564946e-05,23,6.23599358288699e-05,0.000124256256734654,27,0.000417605657044022,0.00049690940778003,2012
"145","United Kingdom",5.55921790765359e-05,15,0.000314708018386598,0.000208800563787028,10,0.000702753779102608,0.000894735152780852,2012
"146","United States",6.02227707180744e-06,14,3.08580602108246e-05,0.000135237692527123,26,0.000576392236024509,0.000654961383960939,2012
"147","EU",8.48873886547269e-05,3,0.000225942545183807,0.000162079980372062,15,0.000367734835729399,0.000580850142533872,2012
"148","Europe",8.588476207799e-05,4,0.000230878383937101,0.000160513061271905,14,0.000370613719965778,0.000581788384685644,2012
"149","Australia",6.34956174060291e-05,17,0.000347754503916182,0.000125069215447792,27,0.0009135605482309,0.00100539323368281,2013
